"sponsor","website_url","logo_candidate_url","website_confidence","logo_confidence","needs_manual_review","note"
"Ansorge Bohrwurm Zittau","https://www.bohrwurm.de/","https://www.bohrwurm.de/wp-content/uploads/2022/12/Ansorge-Logo-300x73.jpg","high","high","false",""
"Autohaus Havlat Grossschoenau","https://www.autohaus-havlat.de/","https://assets.volkswagen.com//is/image/cso/logo_40673?Zml0PWNyb3AsMSZmbXQ9anBlZyZxbHQ9Nzkmd2lkPTI5OSZoZWk9Mjk5JmJmYz1vZmYmMWE0Ng==","manual","manual","false","Vanity-Domain leitet auf die offizielle Volkswagen-Haendlerseite."
"Autohaus Buechner GmbH Zittau","https://www.ambestenbuechner.de/","https://www.ambestenbuechner.de/assets/logo-0e7324c53e7911e7b2692c4b938c46aec4a58b3f447f75a0d7b188850abecf0f.png","manual","manual","false",""
"Autopflege Langer Grossschoenau","https://www.autopflege-langer.de/","https://image.jimcdn.com/app/cms/image/transf/dimension=4096x4096:format=png/path/sa1ad8760c5d53819/image/ia87d0993f30f1899/version/1490613971/image.png","high","high","false",""
"Autoservice Engler Schlegel","https://www.autoservice-schlegel.de/","https://www.autoservice-schlegel.de/uploads/ZKV0u5St/142x142_234x234/Audi.jpg","high","high","false",""
"Baumanns Eisparadies Leuba","https://www.baumanns.de/","https://www.baumanns.de/fileadmin2023/_processed_/d/5/csm_251022_logo_baumanns_0e8d58fa61.png","manual","manual","false",""
"Bergquell-Brauerei Loebau","https://www.bergquell-porter.de/","https://www.bergquell-porter.de/fileadmin/introduction/images/theme/Doppellogo.png","high","high","false",""
"Brennstoffhandel Lange","https://brennstoffhandel.de/","https://brennstoffhandel.de/images/favicon.ico","medium","low","true",""
"Brieger Rechtsanwaelte Zittau","https://www.rechtsanwaelte-brieger.de/","","manual","medium","true","Offizielle Website gefunden, aber kein klares Logo-Bild im HTML."
"City-Fahrschule Krause Zittau","https://www.cityfahrschulekrause.de/","http://www.cityfahrschulekrause.de/wp-content/uploads/2018/01/Fahrschule-Krause-Zittau-Logo.png","high","high","false",""
"Come back e.V.","https://comeback-zittau.de/","https://comeback-zittau.de/wp/wp-content/themes/comeback/assets/images/logo-comeback.svg","high","high","false",""
"DEKRA Automobil GmbH Bautzen","https://www.dekra.de/de/bautzen/","","manual","low","true","Offizielle Standortseite; Logo wird inline als SVG/Data-URI gerendert."
"EVG Neugersdorf","https://www.evg-holz.de/","https://www.evg-holz.de/config/1148/logo.png","manual","manual","false",""
"Ebermann u. Klippel Oderwitz","https://autofit-oderwitz.de/","https://autofit-oderwitz.de/assets/logo.png","medium","high","true",""
"Eichler GmbH & Co KG","https://www.eichler-sachsen.de/","https://www.eichler-sachsen.de/wp-content/uploads/2018/05/logo-eichler.png","manual","manual","false",""
"ELLOs GmbH und Co. KG","http://die-ellos.de/","http://die-ellos.de/pic/logo.gif","manual","manual","false","Offizielle lokale Elektroteam-Seite nutzt aktuell kein sauberes HTTPS."
"Fleischerei Kummer Zittau","http://www.fleischerei-kummer.de/","http://www.fleischerei-kummer.de/templates/jt009_j15/images/logo.png","high","high","false",""
"Forstwirtschaftliche Dienstleistungen Volkmar Hamann Waltersdorf","","","none","high","true","Keine offizielle Website gefunden; nur Branchenverzeichnisse."
"Frottana Textil GmbH und Co. KG","https://www.frottana.de/frottana","https://cdn.moeve.de/media/fe/a1/ee/1767948167/frottana_logo_mobile.svg?ts=1778488091","high","high","false",""
"FS Frank Fritsche Waltersdorf","https://www.fahrschule-fritsche.de/","https://www.fahrschule-fritsche.de/files/seiteninhalt/fritsche_header01.jpg","high","medium","false",""
"FWH Federnfabrik Hesse Neugersdorf","https://www.wilhelm-hesse.de/","https://www.wilhelm-hesse.de/wp-content/uploads/2019/05/HesseLogogro%C3%9F-ohne-stadt-4900-tr._web.png","high","high","false",""
"Garten Landschaftsbau Kommunale Dienstleistungen Frank Laufer Saalendorf","https://www.laufer777.de/kontakt.html","https://www.laufer777.de/media/logo.jpg","high","high","false",""
"Gaestehaus Am Oberlausitzer Dreieck","https://www.oberlausitzer-dreieck.de/","https://www.oberlausitzer-dreieck.de/sites/default/files/oberlausitzerdreieck_logo_350x141.png","high","high","false",""
"GEMTEC GmbH Hainewalde","https://www.gemtec.de/","https://www.gemtec.de/wp-content/uploads/2017/01/Logo-2.png","manual","manual","false",""
"Geruestbau Kiessling","https://www.geruestbau-kiessling.de/baugerueste","https://www.geruestbau-kiessling.de/files/www/logo.png","high","high","false",""
"Glaubitz GmbH & Co.KG Zittau","https://www.glaubitz-autodienst.de/","https://www.glaubitz-autodienst.de/api/image/image-cache/mitsubishi_partnerseiten/6118/6118.jpg?width=125&height=60&t=1574264120","manual","manual","false",""
"Hahmann Zimmermann Werbetechnik","https://mann2.de/","https://mann2.de/wp/wp-content/themes/mann2/images/mann2-logo.svg","manual","manual","false","Hahmann & Zimmermann tritt online als MANN2 auf."
